epoch,accuracy,loss,val_accuracy,val_loss
0,0.38223081827163696,1.3191570043563843,0.44668588042259216,1.2635506391525269
1,0.6675892472267151,0.9355868697166443,0.651296854019165,0.8940503597259521
2,0.7973982691764832,0.5587444305419922,0.6829971075057983,0.785686194896698
3,0.8499861359596252,0.4099405109882355,0.7060518860816956,0.7740334868431091
4,0.8815388679504395,0.3347568213939667,0.7204610705375671,0.8066866397857666
5,0.9025740623474121,0.27609407901763916,0.6945244669914246,0.8598031401634216
6,0.92084139585495,0.230449840426445,0.7031700015068054,0.9068479537963867
7,0.9402158856391907,0.19116739928722382,0.6714697480201721,0.9656621217727661
8,0.9504566788673401,0.1678391695022583,0.6916426420211792,1.0329991579055786
9,0.9559922218322754,0.14927005767822266,0.6685879230499268,1.0741444826126099
10,0.9634652733802795,0.12642322480678558,0.6829971075057983,1.1608401536941528
11,0.9659562706947327,0.12043911218643188,0.6714697480201721,1.2256907224655151
12,0.9703847169876099,0.1099855825304985,0.680115282535553,1.2349106073379517
13,0.9698311686515808,0.10241010040044785,0.6657060384750366,1.306973934173584
14,0.9698311686515808,0.10064130276441574,0.6685879230499268,1.3229447603225708
15,0.974259614944458,0.08980981260538101,0.6887608170509338,1.388029932975769
16,0.9739828109741211,0.0881182923913002,0.6743515729904175,1.3841127157211304
17,0.974259614944458,0.08642866462469101,0.6599423885345459,1.446408987045288
18,0.9753667116165161,0.08453291654586792,0.680115282535553,1.4782800674438477
19,0.9778577089309692,0.07757147401571274,0.6743515729904175,1.5166362524032593
20,0.975089967250824,0.07616163045167923,0.6858789920806885,1.4672771692276
21,0.9739828109741211,0.07594641298055649,0.6829971075057983,1.5486915111541748
22,0.9778577089309692,0.0713382437825203,0.6628242135047913,1.578291416168213
23,0.974259614944458,0.07489804923534393,0.680115282535553,1.537821888923645
24,0.9781345129013062,0.06524938344955444,0.6743515729904175,1.5239202976226807
